batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_pk,game_date,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_k_1plus,p_k_2plus,adj_prob,pred_ks,book_markets,primary_line,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge
656941,Kyle Schwarber,PHI,NYM,1,2.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,0,1,0.24601769911504426,824250,2026-07-12,L,5,5,2,0,0,0,0,0,0,3,2,2,0,0,0,0,2,0.9530000000000001,1.045,1,1,1,1,1,1,0.23636363636363636,0.3484848484848485,0.5636363636363636,0.36363636363636365,0.3448275862068966,0.16363636363636364,0.045454545454545456,0.0,1.4666666666666666,1.6,0.59375,0.28125,0.3125,0.25,0.0,0.35477380952380955,0.6585000000000001,0.5931372549019608,0.19653179190751446,0.39444444444444443,0.16666666666666666,0.30578512396694213,0.30578512396694213,0.03305785123966942,7.741258741258741,1.3216783216783217,11.13986013986014,0.28921568627450983,0.7653141952983725,0.3553061989646034,0.7653141952983725,1.6,"{""bet365"": {""1.5"": -110}}",0.5,,,,False,,1.5,bet365,-110.0,0.5238095238095238,True,-0.1685
665561,Rafael Marchán,PHI,NYM,1,,0,681035,Christian Scott,R,823440,6:10 PM ET,,0,1,0.24601769911504426,824252,2026-07-10,L,4,4,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0.18,0.2065,0,0,0,0,0,0,0.16666666666666666,0.1935483870967742,0.9,0.0967741935483871,0.15384615384615385,0.1,0.03225806451612903,0.0,0.5333333333333333,0.2,0.14814814814814814,0.25925925925925924,0.3333333333333333,0.18518518518518517,0.0,0.30730769230769234,0.39191025641025645,0.5931372549019608,0.19653179190751446,0.39444444444444443,0.16666666666666666,0.30578512396694213,0.30578512396694213,0.03305785123966942,7.741258741258741,1.3216783216783217,11.13986013986014,0.28921568627450983,0.5517412002533502,0.15349417716843763,0.5517412002533502,0.2,,0.5,,,,False,,1.5,,,,False,
607208,Trea Turner,PHI,NYM,1,1.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,1,1,0.24601769911504426,824250,2026-07-12,R,5,4,1,0,0,0,1,0,0,1,1,3,0,1,1,1,1,0.317,0.564,1,0,1,0,1,0,0.2698412698412698,0.29850746268656714,0.7777777777777778,0.208955223880597,0.2978723404255319,0.19047619047619047,0.04477611940298507,0.04477611940298507,1.9333333333333333,0.9333333333333333,0.46,0.18,0.44,0.32,0.04,0.29374555555555554,0.5265788888888889,0.5931372549019608,0.19653179190751446,0.39444444444444443,0.16666666666666666,0.30578512396694213,0.30578512396694213,0.03305785123966942,7.741258741258741,1.3216783216783217,11.13986013986014,0.28921568627450983,0.6635867393056912,0.28311222733209557,0.6635867393056912,0.9333333333333333,"{""bet365"": {""1.5"": 190}}",0.5,,,,False,,1.5,bet365,190.0,0.3448275862068966,True,-0.0617
805999,A.J. Ewing,NYM,PHI,0,1.0,1,605400,Aaron Nola,R,823440,6:10 PM ET,,0,1,0.18998272884283246,823602,2026-07-12,L,4,4,1,1,0,0,0,0,0,3,2,1,0,1,0,1,0,0.571,0.638,1,0,1,1,1,1,0.3148148148148148,0.3728813559322034,0.7592592592592593,0.22033898305084745,0.35135135135135137,0.24074074074074073,0.06779661016949153,0.01694915254237288,2.0,0.8666666666666667,0.43902439024390244,0.14634146341463414,0.4878048780487805,0.34146341463414637,0.024390243902439025,0.30556111111111117,0.5823555555555555,0.7072072072072072,0.24210526315789474,0.5346534653465347,0.24752475247524752,0.4012738853503185,0.3248407643312102,0.01910828025477707,10.44,2.16,9.0,0.22522522522522523,0.6090523909808035,0.2312188169875109,0.6090523909808035,0.8666666666666667,"{""bet365"": {""1.5"": 150}, ""betmgm"": {""1.5"": -250}}",0.5,,,,False,,1.5,bet365,150.0,0.4,True,-0.1688
666182,Bo Bichette,NYM,PHI,0,3.0,1,605400,Aaron Nola,R,823440,6:10 PM ET,,1,1,0.18998272884283246,823602,2026-07-12,R,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.133,0.135,0,0,0,0,0,0,0.26785714285714285,0.31746031746031744,0.8035714285714286,0.1746031746031746,0.3191489361702128,0.03571428571428571,0.0,0.031746031746031744,1.1333333333333333,0.7333333333333333,0.3617021276595745,0.2553191489361702,0.48936170212765956,0.2127659574468085,0.02127659574468085,0.3071607142857143,0.4054857142857143,0.7072072072072072,0.24210526315789474,0.5346534653465347,0.24752475247524752,0.4012738853503185,0.3248407643312102,0.01910828025477707,10.44,2.16,9.0,0.22522522522522523,0.5783327380623497,0.18527325908132256,0.5783327380623497,0.7333333333333333,"{""bet365"": {""0.5"": -180}}",0.5,bet365,-180.0,0.6428571428571429,True,-0.0645,1.5,,,,False,
683146,Brett Baty,NYM,PHI,0,8.0,1,605400,Aaron Nola,R,823440,6:10 PM ET,,0,1,0.18998272884283246,823602,2026-07-12,L,4,4,0,0,0,0,0,0,0,1,0,3,0,1,1,2,0,0.23833333333333337,0.2823333333333333,0,0,0,0,1,0,0.2549019607843137,0.3220338983050847,0.7450980392156863,0.22033898305084745,0.3076923076923077,0.13725490196078433,0.01694915254237288,0.06779661016949153,1.3333333333333333,0.8666666666666667,0.475,0.3,0.4,0.275,0.025,0.3980166666666667,0.6296333333333333,0.7072072072072072,0.24210526315789474,0.5346534653465347,0.24752475247524752,0.4012738853503185,0.3248407643312102,0.01910828025477707,10.44,2.16,9.0,0.22522522522522523,0.596921709096886,0.20723365980936817,0.596921709096886,0.8666666666666667,"{""bet365"": {""1.5"": 190}, ""betmgm"": {""1.5"": 200}}",0.5,,,,False,,1.5,betmgm,200.0,0.3333333333333333,True,-0.1261
701807,Carson Benge,NYM,PHI,0,5.0,1,605400,Aaron Nola,R,823440,6:10 PM ET,,0,1,0.18998272884283246,823602,2026-07-12,L,4,4,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0.313,0.336,0,0,0,0,1,1,0.31666666666666665,0.3787878787878788,0.8166666666666667,0.16666666666666666,0.3617021276595745,0.13333333333333333,0.030303030303030304,0.030303030303030304,1.8,0.7333333333333333,0.3469387755102041,0.2653061224489796,0.46938775510204084,0.22448979591836735,0.02040816326530612,0.42641111111111113,0.5868888888888889,0.7072072072072072,0.24210526315789474,0.5346534653465347,0.24752475247524752,0.4012738853503185,0.3248407643312102,0.01910828025477707,10.44,2.16,9.0,0.22522522522522523,0.591451195731844,0.18395980041962456,0.591451195731844,0.7333333333333333,"{""bet365"": {""0.5"": -240}}",0.5,bet365,-240.0,0.7058823529411765,True,-0.1144,1.5,,,,False,
676572,Eric Wagaman,NYM,PHI,0,,0,605400,Aaron Nola,R,823440,6:10 PM ET,,1,1,0.18998272884283246,823602,2026-07-12,R,3,3,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0.0925,0.095,0,0,0,0,1,0,0.18518518518518517,0.2903225806451613,0.7407407407407407,0.21875,0.21052631578947367,0.1111111111111111,0.03125,0.0,0.5333333333333333,0.4666666666666667,0.25,0.3,0.5,0.15,0.05,0.2675,0.35331818181818186,0.7072072072072072,0.24210526315789474,0.5346534653465347,0.24752475247524752,0.4012738853503185,0.3248407643312102,0.01910828025477707,10.44,2.16,9.0,0.22522522522522523,0.3731311231096805,0.10958153871165284,0.3731311231096805,0.4666666666666667,,0.5,,,,False,,1.5,,,,False,
682626,Francisco Alvarez,NYM,PHI,0,9.0,1,605400,Aaron Nola,R,823440,6:10 PM ET,,1,1,0.18998272884283246,823603,2026-07-11,R,4,3,2,0,0,0,1,0,0,1,2,2,0,1,0,1,1,0.40750000000000003,0.452,1,1,1,1,1,0,0.2222222222222222,0.27586206896551724,0.6481481481481481,0.3275862068965517,0.28125,0.2037037037037037,0.05172413793103448,0.034482758620689655,1.5333333333333334,1.2666666666666666,0.37142857142857144,0.17142857142857143,0.45714285714285713,0.22857142857142856,0.0,0.34491666666666665,0.7149940476190475,0.7072072072072072,0.24210526315789474,0.5346534653465347,0.24752475247524752,0.4012738853503185,0.3248407643312102,0.01910828025477707,10.44,2.16,9.0,0.22522522522522523,0.5547998581179808,0.18458858984030546,0.5547998581179808,1.2666666666666666,"{""bet365"": {""1.5"": 160}}",0.5,,,,False,,1.5,bet365,160.0,0.38461538461538464,True,-0.2
596019,Francisco Lindor,NYM,PHI,0,4.0,1,605400,Aaron Nola,R,823440,6:10 PM ET,,1,1,0.18998272884283246,823602,2026-07-12,R,3,3,1,1,0,0,0,0,0,0,2,3,0,1,1,0,1,0.17033333333333334,0.4053333333333333,1,0,1,1,0,0,0.1951219512195122,0.2826086956521739,0.8048780487804879,0.17391304347826086,0.1935483870967742,0.14634146341463414,0.043478260869565216,0.0,0.9333333333333333,0.5333333333333333,0.6060606060606061,0.18181818181818182,0.5151515151515151,0.2727272727272727,0.030303030303030304,0.32665151515151514,0.6246136363636363,0.7072072072072072,0.24210526315789474,0.5346534653465347,0.24752475247524752,0.4012738853503185,0.3248407643312102,0.01910828025477707,10.44,2.16,9.0,0.22522522522522523,0.4501599475572307,0.15760157841358485,0.4501599475572307,0.5333333333333333,"{""bet365"": {""0.5"": -270}}",0.5,bet365,-270.0,0.7297297297297297,True,-0.2796,1.5,,,,False,
676724,Jared Young,NYM,PHI,0,7.0,1,605400,Aaron Nola,R,823440,6:10 PM ET,,0,1,0.18998272884283246,823602,2026-07-12,L,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.829,1.041,1,0,1,0,0,0,0.2608695652173913,0.34615384615384615,0.8043478260869565,0.17307692307692307,0.3055555555555556,0.13043478260869565,0.019230769230769232,0.057692307692307696,1.2,0.6,0.3783783783783784,0.2702702702702703,0.35135135135135137,0.2702702702702703,0.0,0.25829444444444444,0.48554,0.7072072072072072,0.24210526315789474,0.5346534653465347,0.24752475247524752,0.4012738853503185,0.3248407643312102,0.01910828025477707,10.44,2.16,9.0,0.22522522522522523,0.5444421964342289,0.1605398143835081,0.5444421964342289,0.6,"{""bet365"": {""0.5"": -240}}",0.5,bet365,-240.0,0.7058823529411765,True,-0.1614,1.5,,,,False,
593871,Jorge Polanco,NYM,PHI,0,6.0,1,605400,Aaron Nola,R,823440,6:10 PM ET,,0,1,0.18998272884283246,823602,2026-07-12,L,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.28833333333333333,0.3243333333333333,0,0,0,0,1,0,0.2,0.21739130434782608,0.8222222222222222,0.17391304347826086,0.2222222222222222,0.1111111111111111,0.021739130434782608,0.043478260869565216,0.9333333333333333,0.5333333333333333,0.2702702702702703,0.13513513513513514,0.4594594594594595,0.2972972972972973,0.02702702702702703,0.2167083333333333,0.3029583333333333,0.7072072072072072,0.24210526315789474,0.5346534653465347,0.24752475247524752,0.4012738853503185,0.3248407643312102,0.01910828025477707,10.44,2.16,9.0,0.22522522522522523,0.5137893691983709,0.1605398143835081,0.5137893691983709,0.5333333333333333,"{""bet365"": {""0.5"": -220}}",0.5,bet365,-220.0,0.6875,True,-0.1737,1.5,,,,False,
665742,Juan Soto,NYM,PHI,0,2.0,1,605400,Aaron Nola,R,823440,6:10 PM ET,,0,1,0.18998272884283246,823602,2026-07-12,L,4,4,0,0,0,0,0,0,0,1,0,3,0,1,2,1,0,0.35733333333333334,0.8973333333333332,0,0,0,0,1,0,0.2708333333333333,0.45454545454545453,0.8333333333333334,0.12121212121212122,0.24324324324324326,0.3125,0.06060606060606061,0.015151515151515152,1.8666666666666667,0.5333333333333333,0.4146341463414634,0.2926829268292683,0.2682926829268293,0.36585365853658536,0.0975609756097561,0.40351666666666663,0.910838888888889,0.7072072072072072,0.24210526315789474,0.5346534653465347,0.24752475247524752,0.4012738853503185,0.3248407643312102,0.01910828025477707,10.44,2.16,9.0,0.22522522522522523,0.5534523646146158,0.1590271499855746,0.5534523646146158,0.5333333333333333,"{""bet365"": {""0.5"": -220}, ""betmgm"": {""0.5"": -165}}",0.5,betmgm,-165.0,0.6226415094339622,True,-0.0692,1.5,,,,False,
620443,Luis Torrens,NYM,PHI,0,,0,605400,Aaron Nola,R,823440,6:10 PM ET,,1,1,0.18998272884283246,823602,2026-07-12,R,3,3,1,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0.649,0.697,1,0,1,0,1,1,0.2127659574468085,0.28846153846153844,0.8085106382978723,0.17307692307692307,0.24324324324324326,0.0851063829787234,0.019230769230769232,0.019230769230769232,0.9333333333333333,0.6,0.23684210526315788,0.23684210526315788,0.5789473684210527,0.10526315789473684,0.0,0.24425000000000002,0.3373809523809524,0.7072072072072072,0.24210526315789474,0.5346534653465347,0.24752475247524752,0.4012738853503185,0.3248407643312102,0.01910828025477707,10.44,2.16,9.0,0.22522522522522523,0.47769407884885656,0.1521907029669811,0.47769407884885656,0.6,,0.5,,,,False,,1.5,,,,False,
543760,Marcus Semien,NYM,PHI,0,,0,605400,Aaron Nola,R,823440,6:10 PM ET,,1,1,0.18998272884283246,823611,2026-06-24,R,4,4,1,0,0,0,0,0,0,1,1,3,0,0,1,1,0,0.08866666666666667,0.10433333333333335,1,0,1,0,1,0,0.21818181818181817,0.3064516129032258,0.6909090909090909,0.27419354838709675,0.2571428571428571,0.2,0.04838709677419355,0.0,1.5333333333333334,1.1333333333333333,0.34210526315789475,0.34210526315789475,0.23684210526315788,0.2894736842105263,0.05263157894736842,0.3336222222222222,0.5563166666666667,0.7072072072072072,0.24210526315789474,0.5346534653465347,0.24752475247524752,0.4012738853503185,0.3248407643312102,0.01910828025477707,10.44,2.16,9.0,0.22522522522522523,0.6548075117890401,0.26256220422577786,0.6548075117890401,1.1333333333333333,,0.5,,,,False,,1.5,,,,False,
621438,Tyrone Taylor,NYM,PHI,0,,0,605400,Aaron Nola,R,823440,6:10 PM ET,,1,1,0.18998272884283246,823602,2026-07-12,R,4,3,1,1,0,0,1,0,0,1,2,2,0,1,1,0,1,0.38999999999999996,0.818,1,0,1,1,1,0,0.2702702702702703,0.3076923076923077,0.8108108108108109,0.175,0.25925925925925924,0.32432432432432434,0.075,0.075,1.4666666666666666,0.4666666666666667,0.2903225806451613,0.12903225806451613,0.3870967741935484,0.3548387096774194,0.12903225806451613,0.265525641025641,0.5311410256410257,0.7072072072072072,0.24210526315789474,0.5346534653465347,0.24752475247524752,0.4012738853503185,0.3248407643312102,0.01910828025477707,10.44,2.16,9.0,0.22522522522522523,0.3784217976124136,0.11074113770836276,0.3784217976124136,0.4666666666666667,,0.5,,,,False,,1.5,,,,False,
